,Category,Engine type,"Transmission type,final drive",Displacement ccm,Fuel capacity liters,Power HP,Front brakes,Rear brakes
19375,Naked bike,"V2, four-stroke",Chain,1078.0,15.0,93.6,Double disc,Single disc
19377,Naked bike,"V2, four-stroke",Chain,696.0,15.0,78.9,Double disc,Single disc
19378,Sport,"V2, four-stroke",Chain,1078.0,20.0,93.9,Double disc,Single disc
19380,Classic,"V2, four-stroke",Chain,992.0,15.0,90.8,Double disc,Single disc
19382,Classic,"V2, four-stroke",Chain,992.0,15.0,90.8,Double disc,Single disc
19385,Sport,"V2, four-stroke",Chain,1198.4,15.5,180.0,Double disc,Single disc
19387,Sport,"V2, four-stroke",Chain,1198.4,15.5,170.0,Double disc,Single disc
19388,Sport,"V2, four-stroke",Chain,1198.4,15.5,170.0,Double disc,Single disc
19389,Sport,"V2, four-stroke",Chain,849.4,15.5,134.0,Double disc,Single disc
19397,Classic,"Single cylinder, four-stroke",Chain,346.0,14.5,18.0,Expanding brake (drum brake),Expanding brake (drum brake)
19399,Classic,"Single cylinder, four-stroke",Chain,346.0,14.5,18.0,Single disc,Expanding brake (drum brake)
19400,Classic,"Single cylinder, four-stroke",Chain,499.0,14.5,23.7,Single disc,Expanding brake (drum brake)
19401,Classic,"Single cylinder, four-stroke",Chain,346.0,14.5,19.8,Single disc,Expanding brake (drum brake)
19402,Super motard,"Single cylinder, four-stroke",Chain,123.8,7.5,13.0,Single disc,Single disc
19446,Scooter,"Single cylinder, four-stroke",Belt,124.6,9.6,9.3,Single disc,Single disc
19447,Scooter,"Single cylinder, four-stroke",Belt,124.6,5.0,8.7,Single disc,Expanding brake (drum brake)
19448,Scooter,"Single cylinder, four-stroke",Belt,49.0,5.0,3.0,Single disc,Expanding brake (drum brake)
19479,Scooter,"Single cylinder, four-stroke",Belt,124.6,6.0,7.5,Single disc,Expanding brake (drum brake)
19480,Scooter,"Single cylinder, two-stroke",Belt,49.0,3.4,4.9,Expanding brake (drum brake),Expanding brake (drum brake)
19481,Scooter,"Single cylinder, four-stroke",Belt,124.6,6.0,7.2,Single disc,Expanding brake (drum brake)
19482,Scooter,"Single cylinder, four-stroke",Belt,49.6,6.0,3.0,Single disc,Expanding brake (drum brake)
19483,Scooter,"Single cylinder, four-stroke",Belt,124.6,4.2,7.5,Single disc,Expanding brake (drum brake)
19484,Scooter,"Single cylinder, four-stroke",Belt,49.5,4.2,3.5,Single disc,Expanding brake (drum brake)
19485,Scooter,"Single cylinder, four-stroke",Belt,124.9,6.0,8.3,Single disc,Expanding brake (drum brake)
19486,Scooter,"Single cylinder, four-stroke",Belt,124.9,8.0,7.2,Single disc,Expanding brake (drum brake)
19487,Scooter,"Single cylinder, four-stroke",Belt,124.9,8.0,8.3,Single disc,Expanding brake (drum brake)
19488,Scooter,"Single cylinder, two-stroke",Belt,124.6,4.2,7.5,Single disc,Expanding brake (drum brake)
19489,Scooter,"Single cylinder, two-stroke",Belt,49.5,4.2,4.3,Single disc,Expanding brake (drum brake)
19493,Scooter,"Single cylinder, four-stroke",Belt,124.9,5.8,7.0,Single disc,Expanding brake (drum brake)
19495,Scooter,"Single cylinder, four-stroke",Belt,49.7,6.0,2.0,Single disc,Expanding brake (drum brake)
19496,Scooter,"Single cylinder, four-stroke",Belt,49.6,5.8,3.0,Single disc,Expanding brake (drum brake)
19497,Scooter,"Single cylinder, four-stroke",Belt,49.6,4.2,2.8,Single disc,Expanding brake (drum brake)
19499,Scooter,"Single cylinder, four-stroke",Belt,49.6,4.2,2.8,Single disc,Expanding brake (drum brake)
19500,Scooter,"Single cylinder, four-stroke",Belt,49.7,6.0,2.4,Single disc,Expanding brake (drum brake)
19501,Scooter,"Single cylinder, four-stroke",Belt,49.6,6.0,3.0,Single disc,Expanding brake (drum brake)
19509,Scooter,"Single cylinder, four-stroke",Belt,292.0,15.0,22.4,Single disc,Single disc
19510,Scooter,"Single cylinder, four-stroke",Belt,460.0,15.0,40.1,Single disc,Single disc
19513,Scooter,"Single cylinder, four-stroke",Belt,124.0,8.7,14.5,Single disc,Single disc
19515,Naked bike,"Single cylinder, four-stroke",Chain,145.0,12.0,12.1,Single disc,Expanding brake (drum brake)
19516,ATV,"Single cylinder, four-stroke",Belt,313.0,9.3,20.1,Single disc,Single disc
19517,ATV,"Single cylinder, four-stroke",Shaft drive (cardan),313.0,14.0,19.3,Single disc,Single disc
19518,ATV,"Single cylinder, four-stroke",Shaft drive (cardan),448.8,11.0,51.0,Single disc,Single disc
19519,ATV,"Single cylinder, four-stroke",Belt,493.0,19.0,32.2,Single disc,Single disc
19520,ATV,"Single cylinder, four-stroke",Shaft drive (cardan),493.0,19.0,32.2,Single disc,Single disc
19522,Scooter,"Single cylinder, four-stroke",Belt,124.6,9.0,8.0,Single disc,Expanding brake (drum brake)
19523,Scooter,"Single cylinder, four-stroke",Belt,124.6,5.0,8.0,Single disc,Expanding brake (drum brake)
19524,Scooter,"Single cylinder, four-stroke",Belt,49.6,5.0,3.0,Single disc,Expanding brake (drum brake)
19525,Scooter,"Single cylinder, two-stroke",Belt,49.2,5.5,4.2,Single disc,Expanding brake (drum brake)
19561,Sport,"Single cylinder, four-stroke",Chain,149.2,12.0,14.4,Single disc,Expanding brake (drum brake)
19562,Sport,"Single cylinder, four-stroke",Chain,97.2,10.5,7.7,Expanding brake (drum brake),Expanding brake (drum brake)
19563,Sport,"Single cylinder, four-stroke",Chain,97.2,10.5,7.6,Expanding brake (drum brake),Expanding brake (drum brake)
19564,Sport,"Single cylinder, four-stroke",Chain,124.5,13.6,9.0,Single disc,Expanding brake (drum brake)
19566,Naked bike,"Single cylinder, four-stroke",Chain,149.2,12.4,14.2,Single disc,Expanding brake (drum brake)
19568,Sport,"Single cylinder, four-stroke",Chain,97.5,12.8,7.4,Expanding brake (drum brake),Expanding brake (drum brake)
19569,Sport,"Single cylinder, four-stroke",Chain,97.5,12.8,7.4,Single disc,Expanding brake (drum brake)
19570,Scooter,"Single cylinder, four-stroke",Shaft drive (cardan),102.0,5.0,7.0,Expanding brake (drum brake),Expanding brake (drum brake)
19571,Sport,"Single cylinder, four-stroke",Chain,97.5,10.0,7.4,Expanding brake (drum brake),Expanding brake (drum brake)
19572,Sport,"Single cylinder, four-stroke",Chain,97.5,11.0,7.4,Expanding brake (drum brake),Expanding brake (drum brake)
19573,Sport,"Single cylinder, four-stroke",Chain,124.5,12.0,9.0,Expanding brake (drum brake),Expanding brake (drum brake)
19574,Cross / motocross,"Single cylinder, four-stroke",Chain,449.0,7.0,56.4,Single disc,Single disc
19576,Super motard,"Single cylinder, four-stroke",Chain,449.0,7.0,56.4,Single disc,Single disc
19579,Naked bike,"In-line four, four-stroke",Chain,998.0,17.0,123.4,Double disc,Single disc
19580,Sport,"In-line four, four-stroke",Chain,599.0,19.0,100.6,Double disc,Single disc
19581,Sport,"In-line four, four-stroke",Chain,998.0,19.0,96.6,Double disc,Single disc
19583,Naked bike,"In-line four, four-stroke",Chain,599.3,20.0,76.4,Double disc,Single disc
19584,Sport,"In-line four, four-stroke",Chain,599.3,20.0,76.4,Double disc,Single disc
19587,Sport,"Single cylinder, four-stroke",Chain,124.7,10.0,13.4,Single disc,Single disc
19593,Enduro / offroad,"Single cylinder, four-stroke",Chain,149.0,4.3,22.3,Single disc,Single disc
19594,Enduro / offroad,"Single cylinder, four-stroke",Chain,149.0,4.3,22.3,Single disc,Single disc
19599,Enduro / offroad,"Single cylinder, four-stroke",Chain,249.4,7.3,42.9,Single disc,Single disc
19602,Enduro / offroad,"Single cylinder, four-stroke",Chain,449.0,7.2,50.7,Single disc,Single disc
19621,Scooter,"Single cylinder, four-stroke",Belt,108.0,6.5,8.9,Single disc,Expanding brake (drum brake)
19623,Sport touring,"V2, four-stroke",Shaft drive (cardan),680.2,19.7,64.8,Double disc,Single disc
19624,Scooter,"Single cylinder, four-stroke",Belt,125.0,9.4,13.0,Single disc,Expanding brake (drum brake)
19628,Scooter,"Single cylinder, four-stroke",Belt,125.0,9.4,13.0,Single disc,Single disc
19630,Scooter,"Single cylinder, four-stroke",Belt,125.0,7.5,13.0,Single disc,Expanding brake (drum brake)
19632,Scooter,"Single cylinder, four-stroke",Belt,279.1,9.0,26.8,Single disc,Single disc
19635,Scooter,"Twin, four-stroke",Belt,399.0,16.0,38.5,Single disc,Single disc
19648,Sport,"V4, four-stroke",Chain,782.0,22.0,107.0,Double disc,Single disc
19649,Custom / cruiser,"V2, four-stroke",Shaft drive (cardan),745.0,14.6,44.9,Single disc,Expanding brake (drum brake)
19650,Custom / cruiser,"V2, four-stroke",Shaft drive (cardan),745.0,14.6,44.9,Single disc,Expanding brake (drum brake)
19654,Sport,"V2, four-stroke",Chain,125.0,16.8,14.2,Single disc,Single disc
19655,Touring,"V2, four-stroke",Chain,996.0,25.0,92.5,Double disc,Single disc
19656,Touring,"V2, four-stroke",Chain,680.2,17.5,59.1,Double disc,Single disc
19658,Scooter,"Single cylinder, four-stroke",Belt,50.0,5.0,4.0,Expanding brake (drum brake),Expanding brake (drum brake)
19663,Naked bike,"V2, four-stroke",Chain,124.5,17.0,14.2,Single disc,Single disc
19664,Naked bike,"V2, four-stroke",Chain,249.0,17.0,27.8,Double disc,Single disc
19665,Sport,"V2, four-stroke",Chain,249.0,17.0,28.5,Double disc,Single disc
19666,Sport,"V2, four-stroke",Belt,249.0,17.0,27.8,Double disc,Single disc
19667,Sport,"V2, four-stroke",Belt,249.0,17.0,28.8,Double disc,Single disc
19668,Naked bike,"V2, four-stroke",Chain,647.0,17.0,79.0,Double disc,Single disc
19670,Sport,"V2, four-stroke",Chain,674.0,17.03,79.0,Double disc,Single disc
19671,Sport,"V2, four-stroke",Chain,674.0,17.03,82.0,Double disc,Single disc
19672,Sport,"V2, four-stroke",Chain,125.0,17.0,14.2,Single disc,Single disc
19675,Custom / cruiser,"V2, four-stroke",Belt,647.0,16.0,80.0,Double disc,Single disc
19677,Scooter,"Single cylinder, four-stroke",Belt,124.0,8.0,13.0,Double disc,Single disc
19678,Scooter,"Single cylinder, four-stroke",Belt,249.0,9.0,24.7,Double disc,Single disc
19679,Allround,"Single cylinder, four-stroke",Chain,124.0,8.0,13.5,Single disc,Expanding brake (drum brake)
19681,Super motard,"Single cylinder, four-stroke",Chain,124.0,8.0,13.0,Single disc,Single disc
19690,Sport,"Single cylinder, four-stroke",Chain,124.0,6.5,12.6,Single disc,Single disc
19692,Sport,"Single cylinder, four-stroke",Chain,124.0,17.0,12.6,Single disc,Expanding brake (drum brake)
19695,Sport,"Twin, two-stroke",Chain,343.5,17.0,22.8,Single disc,Expanding brake (drum brake)
19696,Sport,"Twin, two-stroke",Chain,343.5,17.0,22.8,Single disc,Expanding brake (drum brake)
19698,Sport,"Single cylinder, four-stroke",Chain,49.5,6.5,3.0,Single disc,Expanding brake (drum brake)
19699,Classic,"Single cylinder, four-stroke",Chain,651.9,14.2,47.5,Single disc,Single disc
19700,Enduro / offroad,"Single cylinder, four-stroke",Chain,651.9,17.0,47.5,Double disc,Single disc
19701,Allround,"Single cylinder, four-stroke",Chain,651.9,17.0,47.5,Single disc,Single disc
19703,Naked bike,"Twin, four-stroke",Chain,300.0,15.89,23.8,Single disc,Single disc
19704,Touring,"Twin, four-stroke",Chain,300.0,15.89,23.8,Double disc,Single disc
19705,Custom / cruiser,"Twin, four-stroke",Chain,300.0,13.24,23.8,Double disc,Single disc
19706,Touring,"Twin, four-stroke",Chain,300.0,15.89,23.8,Double disc,Single disc
19709,Sport,"V2, four-stroke",Chain,1148.0,16.5,151.5,Double disc,Single disc
19710,Sport,"V2, four-stroke",Chain,1148.0,16.5,151.5,Double disc,Single disc
19743,Enduro / offroad,"Single cylinder, four-stroke",Chain,654.0,12.0,62.1,Single disc,Single disc
19745,Super motard,"Single cylinder, four-stroke",Chain,653.7,13.2,63.0,Single disc,Single disc
19749,Enduro / offroad,"V2, four-stroke",Chain,999.0,19.5,104.6,Double disc,Single disc
19750,Enduro / offroad,"V2, four-stroke",Chain,999.0,19.5,113.3,Double disc,Single disc
19751,Naked bike,"V2, four-stroke",Chain,999.0,18.5,118.0,Double disc,Single disc
19752,Naked bike,"V2, four-stroke",Chain,999.0,18.5,130.1,Double disc,Single disc
19753,Super motard,"V2, four-stroke",Chain,999.0,19.0,114.0,Double disc,Single disc
19755,Super motard,"V2, four-stroke",Chain,999.0,19.0,114.0,Double disc,Single disc
19837,Sport,"In-line four, four-stroke",Chain,748.0,18.5,104.2,Double disc,Single disc
19840,Scooter,"Single cylinder, four-stroke",Belt,124.6,5.0,8.3,Single disc,Expanding brake (drum brake)
19841,Scooter,"Single cylinder, four-stroke",Belt,150.1,5.2,9.8,Single disc,Expanding brake (drum brake)
19842,ATV,"Single cylinder, two-stroke",Belt,91.3,4.5,8.3,Expanding brake (drum brake),Single disc
19843,ATV,"Single cylinder, two-stroke",Belt,49.3,4.5,3.4,Expanding brake (drum brake),Single disc
19844,ATV,"Single cylinder, four-stroke",Belt,249.7,9.3,11.8,Double disc,Single disc
19845,Custom / cruiser,"Twin, four-stroke",Chain,249.0,14.0,18.1,Single disc,Single disc
19846,Scooter,"Single cylinder, two-stroke",Belt,91.3,5.0,3.4,Single disc,Expanding brake (drum brake)
19847,Scooter,"Single cylinder, four-stroke",Belt,124.6,5.0,8.6,Single disc,Expanding brake (drum brake)
19848,Scooter,"Single cylinder, four-stroke",Belt,150.1,6.0,9.8,Single disc,Expanding brake (drum brake)
19851,Scooter,"Single cylinder, two-stroke",Belt,49.3,4.8,3.0,Single disc,Expanding brake (drum brake)
19852,Scooter,"Single cylinder, two-stroke",Belt,49.3,5.0,2.4,Single disc,Expanding brake (drum brake)
19854,Scooter,"Single cylinder, four-stroke",Belt,124.6,7.5,9.8,Single disc,Single disc
19856,Scooter,"Single cylinder, two-stroke",Belt,49.3,5.0,2.3,Single disc,Expanding brake (drum brake)
19857,Scooter,"Single cylinder, two-stroke",Belt,82.5,5.0,5.6,Single disc,Expanding brake (drum brake)
19858,Scooter,"Single cylinder, two-stroke",Belt,124.6,5.0,8.1,Single disc,Expanding brake (drum brake)
19859,Scooter,"Single cylinder, two-stroke",Belt,150.1,6.0,9.8,Single disc,Expanding brake (drum brake)
19860,Scooter,"Single cylinder, two-stroke",Belt,49.3,4.8,3.0,Single disc,Expanding brake (drum brake)
19861,Scooter,"Single cylinder, four-stroke",Belt,124.6,7.4,11.9,Single disc,Single disc
19862,Scooter,"Single cylinder, four-stroke",Belt,150.1,7.4,12.9,Single disc,Single disc
19863,Scooter,"Single cylinder, four-stroke",Belt,125.0,7.6,11.9,Single disc,Single disc
19864,Scooter,"Single cylinder, four-stroke",Belt,150.1,7.6,12.9,Single disc,Single disc
19866,Allround,"Single cylinder, four-stroke",Chain,124.0,15.0,10.7,Single disc,Single disc
19867,Allround,"Single cylinder, four-stroke",Chain,149.0,11.0,12.7,Single disc,Single disc
19869,Touring,"Single cylinder, four-stroke",Chain,151.0,15.0,10.1,Single disc,Expanding brake (drum brake)
19871,Super motard,"Single cylinder, four-stroke",Chain,124.0,12.0,10.7,Single disc,Single disc
19873,Super motard,"Single cylinder, two-stroke",Chain,49.6,10.0,1.9,Single disc,Single disc
19875,Scooter,"Single cylinder, four-stroke",Belt,125.0,11.0,8.4,Single disc,Single disc
19876,Scooter,"Single cylinder, four-stroke",Belt,244.0,11.0,13.6,Single disc,Single disc
19880,Scooter,"Single cylinder, four-stroke",Chain,125.0,5.5,8.4,Single disc,Single disc
19881,Scooter,"Single cylinder, two-stroke",Chain,49.0,5.5,4.0,Single disc,Expanding brake (drum brake)
19882,Scooter,"Single cylinder, four-stroke",Chain,125.0,7.0,8.4,Single disc,Single disc
19883,Scooter,"Single cylinder, two-stroke",Chain,49.0,7.0,4.0,Single disc,Single disc
19886,Allround,"Single cylinder, four-stroke",Chain,125.0,16.0,11.5,Double disc,Single disc
19887,Super motard,"Single cylinder, four-stroke",Chain,125.0,10.5,11.5,Single disc,Single disc
19888,Scooter,"Single cylinder, four-stroke",Shaft drive (cardan),107.0,3.5,6.4,Single disc,Expanding brake (drum brake)
19891,Scooter,"Single cylinder, four-stroke",Shaft drive (cardan),124.8,12.5,15.2,Single disc,Single disc
19892,Custom / cruiser,"Single cylinder, four-stroke",Chain,149.4,12.0,11.5,Single disc,Expanding brake (drum brake)
19893,Scooter,"Single cylinder, four-stroke",Belt,49.0,6.8,1.5,Single disc,Single disc
19895,ATV,"Single cylinder, two-stroke",Belt,49.0,8.1,4.5,Expanding brake (drum brake),Single disc
19896,ATV,"Single cylinder, two-stroke",Belt,49.0,6.8,3.9,Expanding brake (drum brake),Expanding brake (drum brake)
19897,Scooter,"Single cylinder, four-stroke",Belt,49.4,6.8,4.1,Single disc,Expanding brake (drum brake)
19898,Sport,"Single cylinder, four-stroke",Chain,124.1,16.0,10.1,Single disc,Expanding brake (drum brake)
19900,Custom / cruiser,"V2, four-stroke",Belt,250.0,14.0,28.2,Single disc,Expanding brake (drum brake)
19902,Scooter,"Single cylinder, four-stroke",Shaft drive (cardan),498.5,12.8,28.2,Double disc,Single disc
19918,Sport,"Single cylinder, four-stroke",Chain,197.0,13.0,16.8,Single disc,Expanding brake (drum brake)
19923,Scooter,"Single cylinder, four-stroke",Shaft drive (cardan),124.6,7.8,7.0,Single disc,Expanding brake (drum brake)
19927,ATV,"Single cylinder, four-stroke",Chain,313.3,8.5,20.0,Double disc,Single disc
19929,ATV,"Single cylinder, four-stroke",Shaft drive (cardan),272.3,14.5,19.0,Double disc,Single disc
19939,Scooter,"Single cylinder, two-stroke",Belt,49.2,5.3,3.2,Single disc,Expanding brake (drum brake)
19940,Scooter,"Single cylinder, two-stroke",Belt,49.2,5.3,3.2,Single disc,Expanding brake (drum brake)
19941,Scooter,"Single cylinder, two-stroke",Belt,49.2,5.3,11.4,Single disc,Expanding brake (drum brake)
19942,Scooter,"Single cylinder, two-stroke",Belt,49.2,5.3,3.2,Single disc,Expanding brake (drum brake)
19943,Scooter,"Single cylinder, four-stroke",Belt,49.0,4.2,3.7,Expanding brake (drum brake),Expanding brake (drum brake)
19944,Scooter,"Single cylinder, four-stroke",Belt,124.7,10.5,14.4,Single disc,Single disc
19945,Scooter,"Single cylinder, four-stroke",Belt,125.0,7.1,10.7,Single disc,Expanding brake (drum brake)
19946,Scooter,"Single cylinder, four-stroke",Belt,49.2,7.0,3.2,Single disc,Expanding brake (drum brake)
19947,Scooter,"Single cylinder, two-stroke",Belt,49.0,5.5,2.7,Single disc,Single disc
19948,Scooter,"Single cylinder, two-stroke",Belt,49.0,5.5,3.4,Single disc,Single disc
19949,Scooter,"Single cylinder, two-stroke",Belt,49.2,5.5,2.7,Single disc,Single disc
19950,Scooter,"Single cylinder, two-stroke",Belt,49.2,7.0,2.7,Single disc,Single disc
19951,Scooter,"Single cylinder, two-stroke",Belt,49.2,7.0,2.8,Single disc,Single disc
19952,Scooter,"Single cylinder, two-stroke",Belt,49.4,7.0,3.1,Single disc,Single disc
19953,Scooter,"Single cylinder, four-stroke",Belt,124.7,12.5,14.4,Single disc,Single disc
19954,Scooter,"Single cylinder, four-stroke",Belt,124.7,10.5,11.4,Single disc,Single disc
19955,Scooter,"Single cylinder, two-stroke",Belt,49.9,5.5,3.6,Single disc,Expanding brake (drum brake)
19956,Scooter,"Single cylinder, four-stroke",Belt,49.0,5.5,8.6,Single disc,Expanding brake (drum brake)
19957,Enduro / offroad,"Single cylinder, two-stroke",Chain,49.7,6.0,2.8,Single disc,Single disc
19960,Naked bike,"In-line four, four-stroke",Chain,1078.0,19.0,154.0,Double disc,Single disc
19961,Naked bike,"In-line four, four-stroke",Chain,748.9,21.0,127.0,Double disc,Single disc
19963,Naked bike,"In-line four, four-stroke",Chain,908.0,19.0,139.0,Double disc,Single disc
19964,Naked bike,"In-line four, four-stroke",Chain,748.9,21.0,93.0,Double disc,Single disc
19965,Naked bike,"In-line four, four-stroke",Chain,909.0,19.0,139.0,Double disc,Single disc
19966,Naked bike,"In-line four, four-stroke",Chain,908.0,19.0,139.0,Double disc,Single disc
19967,Naked bike,"In-line four, four-stroke",Chain,909.0,19.0,139.0,Double disc,Single disc
19968,Naked bike,"In-line four, four-stroke",Chain,982.3,19.0,139.0,Double disc,Single disc
19970,Sport,"In-line four, four-stroke",Chain,998.0,21.0,174.0,Double disc,Single disc
19971,Sport,"In-line four, four-stroke",Chain,998.0,21.0,174.0,Double disc,Single disc
19972,Sport,"In-line four, four-stroke",Chain,998.0,21.0,166.0,Double disc,Single disc
19973,Sport,"In-line four, four-stroke",Chain,998.0,21.0,166.0,Double disc,Single disc
19977,Sport,"In-line four, four-stroke",Chain,998.0,21.0,183.0,Double disc,Single disc
19978,Sport,"In-line four, four-stroke",Chain,998.0,21.0,183.0,Double disc,Single disc
19979,Sport,"In-line four, four-stroke",Chain,749.0,21.0,146.0,Double disc,Single disc
19980,Sport,"Twin, four-stroke",Chain,999.0,20.0,117.0,Double disc,Single disc
19981,Naked bike,"Twin, four-stroke",Chain,999.0,20.0,111.3,Double disc,Single disc
19982,Sport touring,"Twin, four-stroke",Chain,999.0,20.0,111.3,Double disc,Single disc
19983,Super motard,"Single cylinder, four-stroke",Chain,124.0,12.5,14.8,Single disc,Single disc
19984,Enduro / offroad,"Single cylinder, four-stroke",Chain,124.0,12.5,14.8,Single disc,Single disc
19986,Super motard,"Single cylinder, four-stroke",Chain,660.0,12.2,49.6,Single disc,Single disc
19988,Naked bike,"Single cylinder, four-stroke",Chain,124.0,13.5,14.8,Single disc,Single disc
20002,Scooter,"Single cylinder, four-stroke",Belt,124.0,9.0,12.0,Single disc,Single disc
20003,Scooter,"Single cylinder, four-stroke",Belt,154.0,9.0,13.9,Single disc,Single disc
20004,Scooter,"Single cylinder, four-stroke",Belt,125.0,8.2,13.5,Single disc,Single disc
20005,Scooter,"Single cylinder, four-stroke",Belt,154.0,8.2,13.5,Single disc,Single disc
20012,Scooter,"Single cylinder, four-stroke",Belt,125.0,9.0,14.8,Single disc,Single disc
20013,Scooter,"Single cylinder, four-stroke",Belt,244.0,8.5,22.1,Single disc,Single disc
20014,Scooter,"Single cylinder, four-stroke",Belt,250.0,9.2,21.0,Single disc,Single disc
20019,Scooter,"Single cylinder, four-stroke",Belt,459.0,14.5,39.5,Double disc,Single disc
20020,Scooter,"Single cylinder, four-stroke",Belt,493.0,14.5,40.9,Single disc,Single disc
20021,Super motard,"Single cylinder, four-stroke",Chain,125.0,9.0,10.2,Single disc,Single disc
20033,Naked bike,"V2, four-stroke",Shaft drive (cardan),1151.0,23.0,93.9,Double disc,Single disc
20034,Naked bike,"V2, four-stroke",Shaft drive (cardan),1151.0,23.0,93.9,Double disc,Single disc
20035,Custom / cruiser,"V2, four-stroke",Shaft drive (cardan),935.6,19.0,73.8,Double disc,Single disc
20036,Naked bike,"V2, four-stroke",Shaft drive (cardan),1064.0,23.0,84.5,Single disc,Single disc
20037,Naked bike,"V2, four-stroke",Shaft drive (cardan),1064.0,23.0,84.5,Single disc,Single disc
20038,Sport,"V2, four-stroke",Shaft drive (cardan),1151.0,23.0,95.0,Double disc,Single disc
20039,Naked bike,"V2, four-stroke",Shaft drive (cardan),744.0,18.0,47.6,Single disc,Single disc
20040,Naked bike,"V2, four-stroke",Shaft drive (cardan),877.0,23.0,71.1,Double disc,Single disc
20041,Custom / cruiser,"V2, four-stroke",Shaft drive (cardan),1064.0,19.0,72.4,Double disc,Single disc
20042,Classic,"V2, four-stroke",Shaft drive (cardan),1064.0,19.0,72.4,Double disc,Single disc
20043,Naked bike,"V2, four-stroke",Shaft drive (cardan),1064.0,17.2,86.9,Double disc,Single disc
20044,Naked bike,"V2, four-stroke",Shaft drive (cardan),877.0,17.2,75.1,Double disc,Single disc
20045,Naked bike,"V2, four-stroke",Shaft drive (cardan),1064.0,16.7,110.0,Double disc,Single disc
20046,Naked bike,"V2, four-stroke",Shaft drive (cardan),1064.0,16.7,110.0,Double disc,Single disc
20048,Custom / cruiser,"V2, four-stroke",Shaft drive (cardan),744.0,14.0,47.6,Single disc,Single disc
20049,Touring,"V2, four-stroke",Shaft drive (cardan),1151.0,23.0,88.5,Double disc,Single disc
20050,Touring,"V2, four-stroke",Shaft drive (cardan),1151.0,23.0,88.5,Double disc,Single disc
20051,Touring,"V2, four-stroke",Shaft drive (cardan),1151.0,23.0,88.5,Double disc,Single disc
20052,Sport touring,"V2, four-stroke",Shaft drive (cardan),850.0,23.0,95.0,Double disc,Single disc
20054,Enduro / offroad,"V2, four-stroke",Shaft drive (cardan),1151.0,18.0,102.0,Double disc,Single disc
20058,Naked bike,"V2, four-stroke",Chain,1187.0,21.0,115.3,Double disc,Single disc
20059,Naked bike,"V2, four-stroke",Chain,1187.0,18.0,138.1,Double disc,Single disc
20060,Naked bike,"V2, four-stroke",Chain,1187.0,18.0,140.0,Double disc,Single disc
20061,Naked bike,"V2, four-stroke",Chain,1187.0,18.0,118.0,Double disc,Single disc
20062,Allround,"V2, four-stroke",Chain,1187.0,27.0,118.0,Double disc,Single disc
20063,Allround,"V2, four-stroke",Chain,1187.0,27.0,118.0,Double disc,Single disc
20064,Naked bike,"V2, four-stroke",Chain,1187.0,21.0,117.0,Single disc,Single disc
20074,Enduro / offroad,"Single cylinder, four-stroke",Chain,125.0,7.8,12.0,Single disc,Single disc
20075,Super motard,"Single cylinder, four-stroke",Chain,125.0,7.8,12.0,Single disc,Single disc
20080,Naked bike,"Single cylinder, four-stroke",Chain,125.0,12.5,15.0,Single disc,Single disc
20081,Sport,"Single cylinder, four-stroke",Chain,125.0,12.5,16.0,Single disc,Single disc
20092,Sport,"V2, four-stroke",Chain,1000.0,15.0,116.0,Double disc,Single disc
20093,Sport,"V2, four-stroke",Chain,1000.0,15.0,100.0,Double disc,Single disc
20095,Sport,"V2, four-stroke",Chain,750.0,15.0,116.0,Double disc,Single disc
20097,Sport,"Single cylinder, four-stroke",Belt,100.0,12.0,8.3,Single disc,Expanding brake (drum brake)
20098,Scooter,"Single cylinder, four-stroke",Belt,124.0,6.0,7.0,Single disc,Expanding brake (drum brake)
20100,Scooter,"Single cylinder, four-stroke",Belt,110.0,3.7,7.0,Single disc,Expanding brake (drum brake)
20103,Scooter,"Single cylinder, four-stroke",Belt,49.6,20.81,3.8,Single disc,Expanding brake (drum brake)
20104,Scooter,"Single cylinder, four-stroke",Belt,124.0,6.0,7.5,Single disc,Expanding brake (drum brake)
20105,Sport,"Single cylinder, four-stroke",Belt,124.8,11.0,10.1,Single disc,Expanding brake (drum brake)
20106,Scooter,"Single cylinder, four-stroke",Belt,110.0,4.0,8.0,Single disc,Expanding brake (drum brake)
20107,Scooter,"Single cylinder, four-stroke",Belt,110.0,4.0,6.7,Single disc,Expanding brake (drum brake)
20108,Scooter,"Single cylinder, four-stroke",Belt,124.0,6.0,7.5,Single disc,Expanding brake (drum brake)
20111,Naked bike,"Twin, four-stroke",Chain,961.0,17.03,80.0,Single disc,Single disc
20117,Allround,"In-line four, four-stroke",Shaft drive (cardan),1171.0,27.0,128.7,Double disc,Single disc
20126,Scooter,"Single cylinder, four-stroke",Shaft drive (cardan),244.3,13.2,22.0,Single disc,Single disc
20129,Scooter,"Single cylinder, two-stroke",Chain,124.6,6.0,7.3,Single disc,Single disc
20138,Scooter,"Single cylinder, four-stroke",Chain,124.6,6.0,7.3,Single disc,Expanding brake (drum brake)
20140,Scooter,"Single cylinder, four-stroke",Belt,50.0,6.3,2.9,Single disc,Expanding brake (drum brake)
20141,Scooter,"Single cylinder, two-stroke",Shaft drive (cardan),49.1,8.5,3.1,Single disc,Expanding brake (drum brake)
20159,Custom / cruiser,"V2, four-stroke",Chain,250.0,14.38,17.0,Single disc,Single disc
20160,Custom / cruiser,"V2, four-stroke",Chain,250.0,14.38,17.0,Single disc,Single disc
